Gene,Cell,Log2FoldChange_5to70,P_value_5to70,-log10(P_value)_5to70
CG15611,ensheathing glial cell,0.45406815,0.33576534559818144,0.47396412949673256
CG15614,ensheathing glial cell,0.0,1.0,-0.0
CG15615,ensheathing glial cell,-20.651644,1.0,-0.0
CG15617,ensheathing glial cell,0.0,1.0,-0.0
CG15625,ensheathing glial cell,0.0,1.0,-0.0
CG15628,ensheathing glial cell,-0.730829,1.0,-0.0
CG15629,ensheathing glial cell,21.87054,1.0,-0.0
CG15631,ensheathing glial cell,0.1452574,1.0,-0.0
CG15635,ensheathing glial cell,0.0,1.0,-0.0
CG15638,ensheathing glial cell,22.11246,1.0,-0.0
CG15641,ensheathing glial cell,0.0,1.0,-0.0
CG15642,ensheathing glial cell,-0.65664023,1.0,-0.0
CG15643,ensheathing glial cell,1.6227491,1.0,-0.0
CG15646,ensheathing glial cell,0.0,1.0,-0.0
CG15649,ensheathing glial cell,0.0,1.0,-0.0
CG15650,ensheathing glial cell,0.0,1.0,-0.0
CG15651,ensheathing glial cell,-2.6392205,1.0,-0.0
CG15653,ensheathing glial cell,-21.8989,1.0,-0.0
CG15657,ensheathing glial cell,20.425491,1.0,-0.0
CG15673,ensheathing glial cell,-0.5130949,1.0,-0.0
CG15674,ensheathing glial cell,0.029412245,1.0,-0.0
CG15676,ensheathing glial cell,0.0,1.0,-0.0
CG15695,ensheathing glial cell,-0.90445834,1.0,-0.0
CG15696,ensheathing glial cell,0.0,1.0,-0.0
CG15701,ensheathing glial cell,22.575695,1.0,-0.0
CG15705,ensheathing glial cell,0.0,1.0,-0.0
CG15706,ensheathing glial cell,0.10199331,1.0,-0.0
CG15708,ensheathing glial cell,0.0,1.0,-0.0
CG1571,ensheathing glial cell,20.78166,1.0,-0.0
CG15710,ensheathing glial cell,0.0,1.0,-0.0
CG15711,ensheathing glial cell,0.0,1.0,-0.0
CG15712,ensheathing glial cell,0.0,1.0,-0.0
CG15715,ensheathing glial cell,-0.29753745,1.0,-0.0
CG15717,ensheathing glial cell,0.7853988,1.0,-0.0
CG15719,ensheathing glial cell,-1.2980487,1.0,-0.0
CG1572,ensheathing glial cell,0.5479663,1.0,-0.0
CG15721,ensheathing glial cell,0.0,1.0,-0.0
CG15725,ensheathing glial cell,1.4151827,1.0,-0.0
CG15728,ensheathing glial cell,0.0,1.0,-0.0
CG15731,ensheathing glial cell,0.0,1.0,-0.0
CG15734,ensheathing glial cell,20.349995,1.0,-0.0
CG15739,ensheathing glial cell,-0.6463552,1.0,-0.0
CG15740,ensheathing glial cell,0.0,1.0,-0.0
CG15741,ensheathing glial cell,0.0,1.0,-0.0
CG15742,ensheathing glial cell,0.0,1.0,-0.0
CG15743,ensheathing glial cell,-0.00017910857,1.0,-0.0
CG15744,ensheathing glial cell,2.1380656,1.0,-0.0
CG15747,ensheathing glial cell,-0.05452635,1.0,-0.0
CG1575,ensheathing glial cell,20.903019,1.0,-0.0
CG15754,ensheathing glial cell,0.0,1.0,-0.0
CG15756,ensheathing glial cell,0.0,1.0,-0.0
CG15760,ensheathing glial cell,-0.26186067,1.0,-0.0
CG15764,ensheathing glial cell,0.0,1.0,-0.0
CG15765,ensheathing glial cell,-0.27136415,1.0,-0.0
CG15767,ensheathing glial cell,19.518381,1.0,-0.0
CG15771,ensheathing glial cell,0.1578052,1.0,-0.0
CG15772,ensheathing glial cell,-2.1665783,1.0,-0.0
CG15773,ensheathing glial cell,22.395601,1.0,-0.0
CG1578,ensheathing glial cell,0.6224696,0.023557235672969426,1.6278756732402455
CG15784,ensheathing glial cell,1.5272908,0.32204341809083553,0.4920855725088188
CG15800,ensheathing glial cell,0.0,1.0,-0.0
CG15803,ensheathing glial cell,1.5752515,1.0,-0.0
CG15812,ensheathing glial cell,0.4629817,1.0,-0.0
CG15814,ensheathing glial cell,-0.047560424,1.0,-0.0
CG15818,ensheathing glial cell,0.0,1.0,-0.0
CG1582,ensheathing glial cell,0.14401907,1.0,-0.0
CG15820,ensheathing glial cell,0.0,1.0,-0.0
CG15822,ensheathing glial cell,-0.4617572,1.0,-0.0
CG15824,ensheathing glial cell,0.0,1.0,-0.0
CG15861,ensheathing glial cell,-1.8851472,1.0,-0.0
CG15864,ensheathing glial cell,-0.3440675,1.0,-0.0
CG15865,ensheathing glial cell,0.0,1.0,-0.0
CG15870,ensheathing glial cell,0.0049237222,1.0,-0.0
CG15873,ensheathing glial cell,0.0,1.0,-0.0
CG15876,ensheathing glial cell,0.0,1.0,-0.0
CG15877,ensheathing glial cell,-0.48687938,1.0,-0.0
CG15878,ensheathing glial cell,0.0,1.0,-0.0
CG15879,ensheathing glial cell,-1.5616521,1.0,-0.0
CG15880,ensheathing glial cell,19.766693,1.0,-0.0
CG15882,ensheathing glial cell,0.0,1.0,-0.0
CG15888,ensheathing glial cell,0.0,1.0,-0.0
CG15890,ensheathing glial cell,0.08740636,1.0,-0.0
CG15891,ensheathing glial cell,-0.7779027,1.0,-0.0
CG15892,ensheathing glial cell,-0.24551587,1.0,-0.0
CG15894,ensheathing glial cell,0.9833481,1.0,-0.0
CG15908,ensheathing glial cell,-1.4640428,1.0,-0.0
CG15909,ensheathing glial cell,-0.3249958,1.0,-0.0
CG15912,ensheathing glial cell,-1.7817773,1.0,-0.0
CG15914,ensheathing glial cell,-0.39216712,1.0,-0.0
CG15916,ensheathing glial cell,0.22614071,1.0,-0.0
CG15919,ensheathing glial cell,0.0,1.0,-0.0
CG15922,ensheathing glial cell,-0.21387139,1.0,-0.0
CG15923,ensheathing glial cell,1.0713103,1.0,-0.0
CG15927,ensheathing glial cell,19.2787,1.0,-0.0
CG15930,ensheathing glial cell,0.0,1.0,-0.0
CG1598,ensheathing glial cell,-0.8883567,1.0,-0.0
CG1602,ensheathing glial cell,-0.0040953066,1.0,-0.0
CG1603,ensheathing glial cell,-0.6255372,1.0,-0.0
CG1607,ensheathing glial cell,0.059865545,1.0,-0.0
CG1620,ensheathing glial cell,2.8995116,1.0,-0.0
CG1622,ensheathing glial cell,-0.22496986,1.0,-0.0
CG1628,ensheathing glial cell,-1.5976644,1.0,-0.0
CG1631,ensheathing glial cell,19.105434,1.0,-0.0
CG1632,ensheathing glial cell,-0.59300363,1.0,-0.0
CG1635,ensheathing glial cell,-1.1047772,1.0,-0.0
CG1636,ensheathing glial cell,-0.46176946,1.0,-0.0
CG1637,ensheathing glial cell,0.30803987,1.0,-0.0
CG1638,ensheathing glial cell,0.0,1.0,-0.0
CG1640,ensheathing glial cell,0.4804916,0.0037011718569248614,2.4316607487926714
CG1646,ensheathing glial cell,0.4702648,0.5198921305871728,0.2840867562698873
CG1647,ensheathing glial cell,0.72264075,1.0,-0.0
CG1648,ensheathing glial cell,0.8021348,7.853258335090264e-10,9.104950116076413
CG1662,ensheathing glial cell,-1.3544617,1.0,-0.0
CG1663,ensheathing glial cell,0.38067207,1.0,-0.0
CG16700,ensheathing glial cell,-0.3092087,1.0,-0.0
CG16704,ensheathing glial cell,-2.1918678,1.0,-0.0
CG1671,ensheathing glial cell,-1.2979991,1.0,-0.0
CG16710,ensheathing glial cell,-20.81452,1.0,-0.0
CG16711,ensheathing glial cell,-0.53060937,1.0,-0.0
CG16713,ensheathing glial cell,-0.7427162,1.0,-0.0
CG16717,ensheathing glial cell,0.20145103,1.0,-0.0
CG16719,ensheathing glial cell,0.0,1.0,-0.0
CG16721,ensheathing glial cell,0.3578518,1.0,-0.0
CG16723,ensheathing glial cell,0.0,1.0,-0.0
CG16727,ensheathing glial cell,0.0,1.0,-0.0
CG1673,ensheathing glial cell,0.8938012,0.4109704687641327,0.38618938423965843
CG16734,ensheathing glial cell,0.99329346,1.0,-0.0
CG16736,ensheathing glial cell,-1.4242917,1.0,-0.0
CG16739,ensheathing glial cell,-0.56923175,1.0,-0.0
CG1674,ensheathing glial cell,1.4388149,1.0,-0.0
CG16741,ensheathing glial cell,0.0,1.0,-0.0
CG16743,ensheathing glial cell,-0.56385285,0.5198921305871728,0.2840867562698873
CG16749,ensheathing glial cell,21.998915,1.0,-0.0
CG16753,ensheathing glial cell,-0.518254,1.0,-0.0
CG16756,ensheathing glial cell,-0.027383473,1.0,-0.0
CG16758,ensheathing glial cell,0.25864047,1.0,-0.0
CG16762,ensheathing glial cell,19.294283,1.0,-0.0
CG1677,ensheathing glial cell,0.18640472,0.989146066893186,0.00473957153560296
CG16772,ensheathing glial cell,-1.8889903,1.0,-0.0
CG16775,ensheathing glial cell,0.0,1.0,-0.0
CG16779,ensheathing glial cell,1.6634233,0.6517466453901942,0.18592119551410524
CG16781,ensheathing glial cell,0.0,1.0,-0.0
CG16782,ensheathing glial cell,21.170317,1.0,-0.0
CG16786,ensheathing glial cell,-1.8586637,1.0,-0.0
CG16787,ensheathing glial cell,-0.85960263,1.0,-0.0
CG16789,ensheathing glial cell,1.2231112,1.0,-0.0
CG16790,ensheathing glial cell,0.56603193,1.0,-0.0
CG16791,ensheathing glial cell,0.13719442,1.0,-0.0
CG16798,ensheathing glial cell,1.7672272,1.0,-0.0
CG16799,ensheathing glial cell,-1.509332,1.0,-0.0
CG16800,ensheathing glial cell,0.0,1.0,-0.0
CG16812,ensheathing glial cell,1.1763175,1.0,-0.0
CG16813,ensheathing glial cell,0.0,1.0,-0.0
CG16815,ensheathing glial cell,0.0,1.0,-0.0
CG16820,ensheathing glial cell,-0.2702157,1.0,-0.0
CG16824,ensheathing glial cell,20.6626,1.0,-0.0
CG16825,ensheathing glial cell,19.245527,1.0,-0.0
CG16826,ensheathing glial cell,-22.554428,1.0,-0.0
CG16837,ensheathing glial cell,0.0,1.0,-0.0
CG16848,ensheathing glial cell,0.0,1.0,-0.0
CG16852,ensheathing glial cell,0.0,1.0,-0.0
CG16853,ensheathing glial cell,20.270264,1.0,-0.0
CG16854,ensheathing glial cell,-0.37072888,1.0,-0.0
CG16863,ensheathing glial cell,2.3089771,1.0,-0.0
CG16865,ensheathing glial cell,2.4532394,1.0,-0.0
CG16868,ensheathing glial cell,1.9731767,1.0,-0.0
CG1688,ensheathing glial cell,0.7641126,1.0,-0.0
CG16888,ensheathing glial cell,0.0,1.0,-0.0
CG16890,ensheathing glial cell,1.8574101,1.0,-0.0
CG16894,ensheathing glial cell,0.0,1.0,-0.0
CG16896,ensheathing glial cell,1.2547402,1.0,-0.0
CG16898,ensheathing glial cell,20.471252,1.0,-0.0
CG1690,ensheathing glial cell,20.212423,1.0,-0.0
CG16903,ensheathing glial cell,-0.6357313,1.0,-0.0
CG16904,ensheathing glial cell,0.0,1.0,-0.0
CG16908,ensheathing glial cell,0.03727782,1.0,-0.0
CG16926,ensheathing glial cell,1.595086,1.0,-0.0
CG16935,ensheathing glial cell,-1.0564165,1.0,-0.0
CG1695,ensheathing glial cell,-0.51148224,1.0,-0.0
CG16952,ensheathing glial cell,0.41687813,1.0,-0.0
CG16953,ensheathing glial cell,-0.13117842,1.0,-0.0
CG16956,ensheathing glial cell,0.0,1.0,-0.0
CG16957,ensheathing glial cell,0.0,1.0,-0.0
CG16959,ensheathing glial cell,-3.0440469,1.0,-0.0
CG16964,ensheathing glial cell,0.0,1.0,-0.0
CG16965,ensheathing glial cell,0.0,1.0,-0.0
CG16972,ensheathing glial cell,0.90163016,1.0,-0.0
CG16974,ensheathing glial cell,0.74954504,2.387597560431599e-05,4.622038873527908
CG16978,ensheathing glial cell,-1.8943716,1.0,-0.0
CG16979,ensheathing glial cell,-0.7722969,1.0,-0.0
CG1698,ensheathing glial cell,-1.9681097,1.0,-0.0
CG16984,ensheathing glial cell,18.26109,1.0,-0.0
CG16985,ensheathing glial cell,-0.16284443,1.0,-0.0
CG16986,ensheathing glial cell,-0.09595042,1.0,-0.0
CG16989,ensheathing glial cell,-0.52342165,1.0,-0.0
CG16995,ensheathing glial cell,0.0,1.0,-0.0
CG16998,ensheathing glial cell,0.0,1.0,-0.0
CG17002,ensheathing glial cell,-0.90825343,1.0,-0.0
CG17003,ensheathing glial cell,0.0,1.0,-0.0
CG17005,ensheathing glial cell,-2.5834339,1.0,-0.0
CG1701,ensheathing glial cell,0.0,1.0,-0.0
CG17010,ensheathing glial cell,20.342203,1.0,-0.0
CG17019,ensheathing glial cell,-0.24058354,1.0,-0.0
CG17026,ensheathing glial cell,-1.5787743,1.0,-0.0
CG17027,ensheathing glial cell,-0.29853797,1.0,-0.0
CG17028,ensheathing glial cell,0.71044445,1.0,-0.0
CG17029,ensheathing glial cell,-0.98097265,1.0,-0.0
CG1703,ensheathing glial cell,-0.3039015,1.0,-0.0
CG17030,ensheathing glial cell,18.638218,1.0,-0.0
CG17032,ensheathing glial cell,1.4162226,1.0,-0.0
CG17036,ensheathing glial cell,0.0,1.0,-0.0
CG17047,ensheathing glial cell,18.765656,1.0,-0.0
CG17048,ensheathing glial cell,20.380453,1.0,-0.0
CG17059,ensheathing glial cell,-1.5970764,1.0,-0.0
CG17065,ensheathing glial cell,-0.14768441,1.0,-0.0
CG17068,ensheathing glial cell,-1.2875922,1.0,-0.0
CG17075,ensheathing glial cell,1.5400143,1.0,-0.0
CG17078,ensheathing glial cell,1.3492984,1.0,-0.0
CG17083,ensheathing glial cell,0.0,1.0,-0.0
CG17097,ensheathing glial cell,0.0,1.0,-0.0
CG17098,ensheathing glial cell,0.0,1.0,-0.0
CG17104,ensheathing glial cell,20.389242,1.0,-0.0
CG17107,ensheathing glial cell,0.52914584,1.0,-0.0
CG17108,ensheathing glial cell,-1.3513966,0.02486535978566427,1.6044052524261976
CG17109,ensheathing glial cell,20.174332,1.0,-0.0
CG17110,ensheathing glial cell,0.0,1.0,-0.0
CG17111,ensheathing glial cell,-0.18563516,1.0,-0.0
CG17118,ensheathing glial cell,19.689938,1.0,-0.0
CG17119,ensheathing glial cell,1.3727342,1.0,-0.0
CG17121,ensheathing glial cell,-0.26826137,1.0,-0.0
CG17122,ensheathing glial cell,0.0,1.0,-0.0
CG17124,ensheathing glial cell,-0.1721574,1.0,-0.0
CG17127,ensheathing glial cell,21.919092,1.0,-0.0
CG17129,ensheathing glial cell,-1.4133842,1.0,-0.0
CG17134,ensheathing glial cell,0.0,1.0,-0.0
CG17141,ensheathing glial cell,-0.05466543,1.0,-0.0
CG17145,ensheathing glial cell,0.0,1.0,-0.0
CG17147,ensheathing glial cell,0.0,1.0,-0.0
CG17154,ensheathing glial cell,0.0,1.0,-0.0
CG17162,ensheathing glial cell,1.9334848,0.10296693983680083,0.9873021942383039
CG17163,ensheathing glial cell,-0.23042314,1.0,-0.0
CG17167,ensheathing glial cell,1.0785253,1.0,-0.0
CG17168,ensheathing glial cell,0.53137493,1.0,-0.0
CG17169,ensheathing glial cell,20.811583,1.0,-0.0
CG17173,ensheathing glial cell,0.8675753,1.0,-0.0
CG17177,ensheathing glial cell,0.0,1.0,-0.0
CG17186,ensheathing glial cell,-0.41620302,1.0,-0.0
CG17187,ensheathing glial cell,1.0346152,1.0,-0.0
CG17189,ensheathing glial cell,-2.6155262,1.0,-0.0
CG17190,ensheathing glial cell,-2.6465914,1.0,-0.0
CG17191,ensheathing glial cell,0.0,1.0,-0.0
CG17192,ensheathing glial cell,0.0,1.0,-0.0
CG17193,ensheathing glial cell,0.5240038,1.0,-0.0
CG17195,ensheathing glial cell,0.0,1.0,-0.0
CG17196,ensheathing glial cell,0.0,1.0,-0.0
CG17199,ensheathing glial cell,0.0,1.0,-0.0
CG17202,ensheathing glial cell,-0.51515126,1.0,-0.0
CG17211,ensheathing glial cell,-1.6057839,1.0,-0.0
CG17217,ensheathing glial cell,0.0,1.0,-0.0
CG17219,ensheathing glial cell,21.816917,1.0,-0.0
CG1722,ensheathing glial cell,0.114008635,1.0,-0.0
CG17221,ensheathing glial cell,-0.21180668,1.0,-0.0
CG17224,ensheathing glial cell,-0.046021063,1.0,-0.0
CG17230,ensheathing glial cell,1.5793358,1.0,-0.0
CG17233,ensheathing glial cell,0.7333227,1.0,-0.0
CG17234,ensheathing glial cell,0.0,1.0,-0.0
CG17237,ensheathing glial cell,0.0,1.0,-0.0
CG17239,ensheathing glial cell,0.0,1.0,-0.0
CG1724,ensheathing glial cell,22.373545,1.0,-0.0
CG17242,ensheathing glial cell,0.0,1.0,-0.0
CG17249,ensheathing glial cell,-0.8178208,1.0,-0.0
CG17258,ensheathing glial cell,-2.87987,1.0,-0.0
CG17260,ensheathing glial cell,0.20346104,1.0,-0.0
CG17261,ensheathing glial cell,1.2944038,1.0,-0.0
CG17264,ensheathing glial cell,3.1837904,1.0,-0.0
CG17266,ensheathing glial cell,-0.6777307,1.0,-0.0
CG17267,ensheathing glial cell,0.0,1.0,-0.0
CG17270,ensheathing glial cell,-0.3645258,1.0,-0.0
CG17271,ensheathing glial cell,-0.45184824,1.0,-0.0
CG17272,ensheathing glial cell,-0.65000236,1.0,-0.0
CG17278,ensheathing glial cell,-0.7046758,1.0,-0.0
CG17279,ensheathing glial cell,-0.35911492,1.0,-0.0
CG17287,ensheathing glial cell,0.0,1.0,-0.0
CG17290,ensheathing glial cell,0.0,1.0,-0.0
CG17292,ensheathing glial cell,-0.8279489,1.0,-0.0
CG17294,ensheathing glial cell,-0.3168805,1.0,-0.0
CG17298,ensheathing glial cell,0.0,1.0,-0.0
CG17300,ensheathing glial cell,0.0,1.0,-0.0
CG17321,ensheathing glial cell,-0.7568374,1.0,-0.0
CG17328,ensheathing glial cell,0.020942964,1.0,-0.0
CG17329,ensheathing glial cell,0.0,1.0,-0.0
CG17333,ensheathing glial cell,-0.97205484,1.0,-0.0
CG17343,ensheathing glial cell,0.70861816,1.0,-0.0
CG17349,ensheathing glial cell,0.0,1.0,-0.0
CG17350,ensheathing glial cell,0.58583325,1.0,-0.0
CG17359,ensheathing glial cell,-1.2972844,1.0,-0.0
CG17361,ensheathing glial cell,-1.5925837,1.0,-0.0
CG17362,ensheathing glial cell,18.88091,1.0,-0.0
CG17364,ensheathing glial cell,-0.15903509,1.0,-0.0
CG1737,ensheathing glial cell,0.31625733,1.0,-0.0
CG17375,ensheathing glial cell,0.0,1.0,-0.0
CG17376,ensheathing glial cell,0.0,1.0,-0.0
CG17377,ensheathing glial cell,0.0,1.0,-0.0
CG17378,ensheathing glial cell,-1.2339649,1.0,-0.0
CG1738,ensheathing glial cell,0.5587914,1.0,-0.0
CG17380,ensheathing glial cell,0.0,1.0,-0.0
CG17385,ensheathing glial cell,-0.104466125,1.0,-0.0
CG17387,ensheathing glial cell,-1.4158984,1.0,-0.0
CG17440,ensheathing glial cell,21.602663,1.0,-0.0
CG17450,ensheathing glial cell,-1.5988456,1.0,-0.0
CG17454,ensheathing glial cell,0.5687414,0.6737455932061022,0.1715040624026545
CG17470,ensheathing glial cell,0.0,1.0,-0.0
CG17472,ensheathing glial cell,0.0,1.0,-0.0
CG17475,ensheathing glial cell,0.0,1.0,-0.0
CG17477,ensheathing glial cell,0.0,1.0,-0.0
CG17486,ensheathing glial cell,1.279092,1.0,-0.0
CG17490,ensheathing glial cell,0.8501653,1.0,-0.0
CG17493,ensheathing glial cell,0.30393788,1.0,-0.0
CG1750,ensheathing glial cell,-0.47660547,1.0,-0.0
CG17508,ensheathing glial cell,0.7227133,4.675983601306772e-05,4.330127020580015
CG17528,ensheathing glial cell,1.1524287,0.00016292506767097222,3.7880120899479914
CG17544,ensheathing glial cell,1.7690414,1.0,-0.0
CG17549,ensheathing glial cell,-0.54145324,1.0,-0.0
CG17556,ensheathing glial cell,-1.1098044,1.0,-0.0
CG17560,ensheathing glial cell,0.0,1.0,-0.0
CG17562,ensheathing glial cell,0.0,1.0,-0.0
CG17564,ensheathing glial cell,0.0,1.0,-0.0
CG17565,ensheathing glial cell,-0.9563936,1.0,-0.0
CG17568,ensheathing glial cell,0.352673,1.0,-0.0
CG17570,ensheathing glial cell,0.0,1.0,-0.0
CG17571,ensheathing glial cell,0.0,1.0,-0.0
CG17572,ensheathing glial cell,-2.7225232,1.0,-0.0
CG17574,ensheathing glial cell,0.7189701,0.10973567368621454,0.9596521658024244
CG17575,ensheathing glial cell,0.0,1.0,-0.0
CG17580,ensheathing glial cell,0.0,1.0,-0.0
CG17593,ensheathing glial cell,0.17371167,1.0,-0.0
CG17597,ensheathing glial cell,0.06699748,1.0,-0.0
CG17598,ensheathing glial cell,0.9033523,1.0,-0.0
CG17600,ensheathing glial cell,0.261224,1.0,-0.0
CG17601,ensheathing glial cell,0.0,1.0,-0.0
CG17612,ensheathing glial cell,-0.086901754,1.0,-0.0
CG17625,ensheathing glial cell,-21.866396,1.0,-0.0
CG17633,ensheathing glial cell,19.390013,1.0,-0.0
CG17636,ensheathing glial cell,0.0,1.0,-0.0
CG17637,ensheathing glial cell,2.8050807,1.0,-0.0
CG1764,ensheathing glial cell,-0.79226357,1.0,-0.0
CG17646,ensheathing glial cell,-1.6856183,3.735825574249179e-10,9.427613409184314
CG17648,ensheathing glial cell,0.0,1.0,-0.0
CG17650,ensheathing glial cell,-21.295399,1.0,-0.0
CG17652,ensheathing glial cell,-1.5016451,1.0,-0.0
CG17658,ensheathing glial cell,0.0,1.0,-0.0
CG17660,ensheathing glial cell,-0.59129405,1.0,-0.0
CG17666,ensheathing glial cell,0.0,1.0,-0.0
CG17669,ensheathing glial cell,0.0,1.0,-0.0
CG17672,ensheathing glial cell,-0.46865043,1.0,-0.0
CG17681,ensheathing glial cell,0.0,1.0,-0.0
CG17683,ensheathing glial cell,0.62019616,0.15714002028137122,0.8037131951386421
CG17684,ensheathing glial cell,2.6312497,1.5752030141326134e-82,81.80266346585171
CG17687,ensheathing glial cell,-1.4950755,1.0,-0.0
CG17691,ensheathing glial cell,1.424865,3.3911083001729165e-28,27.469658340149245
CG17698,ensheathing glial cell,0.71559924,1.3456107399627095e-06,5.8710805552204155
CG17707,ensheathing glial cell,21.509857,1.0,-0.0
CG17712,ensheathing glial cell,-0.7007832,1.0,-0.0
CG17715,ensheathing glial cell,0.6678851,0.0470238388092525,1.327681919966005
CG17716,ensheathing glial cell,0.99290675,1.0,-0.0
CG17717,ensheathing glial cell,19.20468,1.0,-0.0
CG17721,ensheathing glial cell,-1.2007252,1.0,-0.0
CG17724,ensheathing glial cell,-0.73824245,1.0,-0.0
CG17726,ensheathing glial cell,-1.2157089,1.0,-0.0
CG1773,ensheathing glial cell,0.44738948,1.0,-0.0
CG17732,ensheathing glial cell,-20.910711,1.0,-0.0
CG17734,ensheathing glial cell,-1.3853592,1.0,-0.0
CG17738,ensheathing glial cell,20.537077,1.0,-0.0
CG17739,ensheathing glial cell,-0.48867306,1.0,-0.0
CG1774,ensheathing glial cell,-1.4343548,1.0,-0.0
CG17744,ensheathing glial cell,0.0,1.0,-0.0
CG17746,ensheathing glial cell,0.69389546,1.0,-0.0
CG17751,ensheathing glial cell,20.480577,1.0,-0.0
CG17752,ensheathing glial cell,0.0,1.0,-0.0
CG17754,ensheathing glial cell,0.37250504,1.0,-0.0
CG17760,ensheathing glial cell,1.3778915,1.0,-0.0
CG17764,ensheathing glial cell,19.591307,1.0,-0.0
CG17765,ensheathing glial cell,-0.39635965,1.0,-0.0
CG17776,ensheathing glial cell,-1.2668848,1.0,-0.0
CG17777,ensheathing glial cell,-0.66312796,1.0,-0.0
CG17778,ensheathing glial cell,0.82128614,1.0,-0.0
CG17780,ensheathing glial cell,0.0,1.0,-0.0
CG17781,ensheathing glial cell,0.0,1.0,-0.0
CG17784,ensheathing glial cell,0.0,1.0,-0.0
CG17786,ensheathing glial cell,0.76719195,1.0,-0.0
CG17801,ensheathing glial cell,0.0,1.0,-0.0
CG17802,ensheathing glial cell,-0.13989465,1.0,-0.0
CG17803,ensheathing glial cell,1.3157542,1.0,-0.0
CG17806,ensheathing glial cell,0.240531,1.0,-0.0
CG17807,ensheathing glial cell,-1.6346502,1.0,-0.0
CG17816,ensheathing glial cell,0.35133225,1.0,-0.0
CG17819,ensheathing glial cell,0.0,1.0,-0.0
CG17821,ensheathing glial cell,0.0,1.0,-0.0
CG17829,ensheathing glial cell,-0.6799615,1.0,-0.0
CG17834,ensheathing glial cell,0.305906,1.0,-0.0
CG17839,ensheathing glial cell,0.041530814,1.0,-0.0
CG17841,ensheathing glial cell,-0.06028876,1.0,-0.0
CG1785,ensheathing glial cell,0.55808735,1.0,-0.0
CG17855,ensheathing glial cell,19.392397,1.0,-0.0
CG17883,ensheathing glial cell,0.76368797,0.00014501392066559618,3.8385903055025046
CG1789,ensheathing glial cell,0.31948045,1.0,-0.0
CG17896,ensheathing glial cell,-0.32221258,1.0,-0.0
CG17904,ensheathing glial cell,-0.38966447,1.0,-0.0
CG17906,ensheathing glial cell,0.0,1.0,-0.0
CG1791,ensheathing glial cell,1.1073,1.0,-0.0
CG17917,ensheathing glial cell,0.0,1.0,-0.0
CG17919,ensheathing glial cell,-1.840096,1.0,-0.0
CG1792,ensheathing glial cell,0.35389692,1.0,-0.0
CG17928,ensheathing glial cell,-0.3006383,1.0,-0.0
CG17929,ensheathing glial cell,1.9817324,1.0,-0.0
CG17930,ensheathing glial cell,19.504498,1.0,-0.0
CG17931,ensheathing glial cell,-0.7747076,1.0,-0.0
CG17944,ensheathing glial cell,0.0,1.0,-0.0
CG17959,ensheathing glial cell,0.0,1.0,-0.0
CG17974,ensheathing glial cell,0.0,1.0,-0.0
CG17977,ensheathing glial cell,-0.67670655,1.0,-0.0
CG17982,ensheathing glial cell,0.044295143,1.0,-0.0
CG17985,ensheathing glial cell,0.6854815,1.0,-0.0
CG17991,ensheathing glial cell,0.0,1.0,-0.0
CG17994,ensheathing glial cell,20.973276,1.0,-0.0
CG17996,ensheathing glial cell,-0.77276456,1.0,-0.0
CG17999,ensheathing glial cell,0.0,1.0,-0.0
CG18003,ensheathing glial cell,-1.0406969,1.0,-0.0
CG18004,ensheathing glial cell,-0.4489542,1.0,-0.0
CG1801,ensheathing glial cell,0.0,1.0,-0.0
CG18011,ensheathing glial cell,2.6204162,1.0,-0.0
CG18048,ensheathing glial cell,-1.2706379,1.0,-0.0
CG1806,ensheathing glial cell,-0.90006244,1.0,-0.0
CG18063,ensheathing glial cell,19.037237,1.0,-0.0
CG18067,ensheathing glial cell,-1.1291022,0.5796953928702194,0.2368001511713915
CG18081,ensheathing glial cell,-0.96222425,1.0,-0.0
CG18088,ensheathing glial cell,0.0,1.0,-0.0
CG18094,ensheathing glial cell,0.67638546,1.0,-0.0
CG18095,ensheathing glial cell,0.0,1.0,-0.0
CG18109,ensheathing glial cell,0.0,1.0,-0.0
CG1812,ensheathing glial cell,-0.035352148,1.0,-0.0
CG18128,ensheathing glial cell,20.94301,1.0,-0.0
CG18130,ensheathing glial cell,0.0,1.0,-0.0
CG18131,ensheathing glial cell,0.0,1.0,-0.0
CG18132,ensheathing glial cell,0.0,1.0,-0.0
CG18135,ensheathing glial cell,-0.070809,1.0,-0.0
CG1814,ensheathing glial cell,0.37168965,1.0,-0.0
CG1815,ensheathing glial cell,0.92004883,0.4162250708733947,0.38067176407141873
CG18155,ensheathing glial cell,0.9267687,1.0,-0.0
CG18171,ensheathing glial cell,0.89417917,1.0,-0.0
CG18178,ensheathing glial cell,0.9302816,1.0,-0.0
CG18179,ensheathing glial cell,20.273119,1.0,-0.0
CG18180,ensheathing glial cell,0.0,1.0,-0.0
CG18190,ensheathing glial cell,0.0,1.0,-0.0
CG18213,ensheathing glial cell,23.114159,1.0,-0.0
CG18223,ensheathing glial cell,0.0,1.0,-0.0
CG18231,ensheathing glial cell,0.0,1.0,-0.0
CG18233,ensheathing glial cell,0.0,1.0,-0.0
CG18234,ensheathing glial cell,18.765656,1.0,-0.0
CG1824,ensheathing glial cell,0.037776724,1.0,-0.0
CG18249,ensheathing glial cell,20.341967,1.0,-0.0
CG18258,ensheathing glial cell,0.0,1.0,-0.0
CG18259,ensheathing glial cell,0.11670672,1.0,-0.0
