Gene,Cell,Log2FoldChange_5to70,P_value_5to70,-log10(P_value)_5to70
ATPsynE,ensheathing glial cell,-1.0399221,1.0,-0.0
ATPsynF,ensheathing glial cell,-1.8040107,0.00011990211824964447,3.9211731443739977
ATPsynG,ensheathing glial cell,-2.0829978,4.81852091469645e-07,6.317086251629238
ATPsynGL,ensheathing glial cell,0.0,1.0,-0.0
ATPsynO,ensheathing glial cell,-1.5583062,0.9059642363594796,0.04288894609613908
ATPsynbeta,ensheathing glial cell,-0.35989404,1.0,-0.0
ATPsynbetaL,ensheathing glial cell,0.0,1.0,-0.0
ATPsyndelta,ensheathing glial cell,-0.9241133,1.0,-0.0
ATPsynepsilonL,ensheathing glial cell,-0.3575905,1.0,-0.0
ATPsyngamma,ensheathing glial cell,-1.4739349,0.2368160535700421,0.6255888604771312
ATbp,ensheathing glial cell,-1.3919678,1.0,-0.0
Aasdh,ensheathing glial cell,0.057967782,1.0,-0.0
Aatf,ensheathing glial cell,-0.7506922,1.0,-0.0
Abd-B,ensheathing glial cell,0.0,1.0,-0.0
Abi,ensheathing glial cell,-0.6216458,1.0,-0.0
Abl,ensheathing glial cell,0.70295805,1.1141488984642778e-10,9.953056764763605
Abp1,ensheathing glial cell,0.29854253,1.0,-0.0
Ac13E,ensheathing glial cell,0.3504113,1.0,-0.0
Ac3,ensheathing glial cell,0.944646,1.0,-0.0
Ac76E,ensheathing glial cell,0.60729927,4.090439986169381e-05,4.388229974807278
Ac78C,ensheathing glial cell,1.181985,1.0,-0.0
AcCoAS,ensheathing glial cell,0.26651105,1.0,-0.0
Acbp1,ensheathing glial cell,-0.6634493,1.0,-0.0
Acbp2,ensheathing glial cell,-1.428483,0.2664334944151512,0.5744111791815751
Acbp3,ensheathing glial cell,0.0,1.0,-0.0
Acbp4,ensheathing glial cell,0.0,1.0,-0.0
Acbp5,ensheathing glial cell,0.0,1.0,-0.0
Acbp6,ensheathing glial cell,0.0,1.0,-0.0
Ace,ensheathing glial cell,0.7059209,1.728630412644451e-05,4.762297850512458
Acer,ensheathing glial cell,-1.381009,1.0,-0.0
Acf,ensheathing glial cell,0.53980285,1.0,-0.0
Achl,ensheathing glial cell,-0.39132136,1.0,-0.0
Ack,ensheathing glial cell,0.76921487,1.0,-0.0
Ack-like,ensheathing glial cell,0.7546043,1.0,-0.0
Acn,ensheathing glial cell,-0.028546128,1.0,-0.0
Acox57D-d,ensheathing glial cell,0.5211505,1.0,-0.0
Acox57D-p,ensheathing glial cell,0.087921776,1.0,-0.0
Acp1,ensheathing glial cell,-20.815754,1.0,-0.0
Acp24A4,ensheathing glial cell,19.5167,1.0,-0.0
Acp26Aa,ensheathing glial cell,0.0,1.0,-0.0
Acp26Ab,ensheathing glial cell,0.0,1.0,-0.0
Acp29AB,ensheathing glial cell,0.0,1.0,-0.0
Acp32CD,ensheathing glial cell,19.362383,1.0,-0.0
Acp33A,ensheathing glial cell,0.0,1.0,-0.0
Acp36DE,ensheathing glial cell,0.13330829,1.0,-0.0
Acp53C14a,ensheathing glial cell,0.0,1.0,-0.0
Acp53C14b,ensheathing glial cell,0.0,1.0,-0.0
Acp53C14c,ensheathing glial cell,18.600622,1.0,-0.0
Acp53Ea,ensheathing glial cell,0.0,1.0,-0.0
Acp54A1,ensheathing glial cell,0.0,1.0,-0.0
Acp62F,ensheathing glial cell,22.345167,1.0,-0.0
Acp63F,ensheathing glial cell,0.0,1.0,-0.0
Acp65Aa,ensheathing glial cell,-2.8733351,1.0,-0.0
Acp76A,ensheathing glial cell,0.0,1.0,-0.0
Acp95EF,ensheathing glial cell,-20.773174,1.0,-0.0
Acp98AB,ensheathing glial cell,0.0,1.0,-0.0
Acph-1,ensheathing glial cell,-0.40297928,1.0,-0.0
Acsl,ensheathing glial cell,0.5550376,5.4900579631228695e-05,4.260423070316478
Act42A,ensheathing glial cell,-0.057252347,1.0,-0.0
Act57B,ensheathing glial cell,-0.59384996,1.0,-0.0
Act5C,ensheathing glial cell,0.47359106,0.017262139168258615,1.7629053864073456
Act79B,ensheathing glial cell,-2.3463602,1.0,-0.0
Act87E,ensheathing glial cell,-1.4020156,1.0,-0.0
Act88F,ensheathing glial cell,21.348883,1.0,-0.0
Actbeta,ensheathing glial cell,1.2414224,0.037524940687312575,1.4256799855388749
Actn,ensheathing glial cell,0.6256017,1.0,-0.0
Actn3,ensheathing glial cell,0.0,1.0,-0.0
Acyp,ensheathing glial cell,0.0,1.0,-0.0
Acyp2,ensheathing glial cell,-0.8038062,1.0,-0.0
AdSL,ensheathing glial cell,0.17595613,1.0,-0.0
AdSS,ensheathing glial cell,-0.008941918,1.0,-0.0
Ada,ensheathing glial cell,-0.1614108,1.0,-0.0
Ada1-1,ensheathing glial cell,-0.19663632,1.0,-0.0
Ada1-2,ensheathing glial cell,-0.029969165,1.0,-0.0
Ada2a,ensheathing glial cell,-0.95172524,1.0,-0.0
Ada2b,ensheathing glial cell,0.62545544,1.0,-0.0
Ada3,ensheathing glial cell,0.8045532,1.0,-0.0
AdamTS-A,ensheathing glial cell,-0.39896822,1.0,-0.0
AdamTS-B,ensheathing glial cell,-0.31755093,1.0,-0.0
Adar,ensheathing glial cell,0.7568704,1.2256994220379084e-05,4.911616018687976
